symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
INFY.NS
HINDUNILVR.NS
ICICIBANK.NS
KOTAKBANK.NS
BHARTIARTL.NS
ITC.NS
AXISBANK.NS
BAJFINANCE.NS
ASIANPAINT.NS
HCLTECH.NS
MARUTI.NS
LT.NS
SBIN.NS
ULTRACEMCO.NS
M&M.NS
SUNPHARMA.NS
WIPRO.NS
ONGC.NS
POWERGRID.NS
NTPC.NS
INDUSINDBK.NS
BAJAJFINSV.NS
TITAN.NS
NESTLEIND.NS
JSWSTEEL.NS
HDFC.NS
COALINDIA.NS
DRREDDY.NS
TATAMOTORS.NS
BPCL.NS
ADANIPORTS.NS
GRASIM.NS
TECHM.NS
HDFCLIFE.NS
HINDALCO.NS
DIVISLAB.NS
BAJAJ-AUTO.NS
HEROMOTOCO.NS
CIPLA.NS
SBILIFE.NS
BRITANNIA.NS
SHREECEM.NS
EICHERMOT.NS
ADANIGREEN.NS
DABUR.NS
PIDILITIND.NS
GAIL.NS
TATAPOWER.NS
DLF.NS
AMBUJACEM.NS
ICICIPRULI.NS
VEDL.NS
PNB.NS
SIEMENS.NS
MUTHOOTFIN.NS
LUPIN.NS
BANDHANBNK.NS
BIOCON.NS
AUROPHARMA.NS
BERGEPAINT.NS
MINDTREE.NS
GODREJCP.NS
IDBI.NS
YESBANK.NS
ASHOKLEY.NS
TATACHEM.NS
NMDC.NS
HAVELLS.NS
TORNTPHARM.NS
PEL.NS
ABB.NS
BOSCHLTD.NS
CANBK.NS
GICRE.NS
IDFCFIRSTB.NS
BANKBARODA.NS
INDIGO.NS
ACC.NS
NAUKRI.NS
HAL.NS
JUBLFOOD.NS
TRENT.NS
COLPAL.NS
APOLLOHOSP.NS
MCDOWELL-N.NS
HINDPETRO.NS
BALKRISIND.NS
TVSMOTOR.NS
PAGEIND.NS
MANAPPURAM.NS
POLYCAB.NS
UBL.NS
IEX.NS
IRCTC.NS
ZYDUSLIFE.NS
GLAND.NS
